,X1,fecha,cobre,petroleo wti,petroleo brent
1,2,2010-01-01,3.350381022,78.36,76.37
2,3,2010-02-01,3.106314071,76.41,74.31
3,4,2010-03-01,3.385117482,81.25,79.27
4,5,2010-04-01,3.513140706,84.48,84.98
5,6,2010-05-01,3.101551302,73.73,76.25
6,7,2010-06-01,2.948063141,75.35,74.84
7,8,2010-07-01,3.055089359,76.35,74.74
8,9,2010-08-01,3.303978046,76.6,76.69
9,10,2010-09-01,3.49691554,75.29,77.79
10,11,2010-10-01,3.761407965,81.9,82.92
11,12,2010-11-01,3.841916901,84.24,85.67
12,13,2010-12-01,4.149169917,89.15,91.8
13,14,2011-01-01,4.334437086,89.41,96.29
14,15,2011-02-01,4.475913998,89.53,103.96
15,16,2011-03-01,4.323074481,102.92,114.44
16,17,2011-04-01,4.301573982,109.96,123.04
17,18,2011-05-01,4.049283317,101.28,114.46
18,19,2011-06-01,4.102980132,96.25,113.76
19,20,2011-07-01,4.363258641,97.31,116.46
20,21,2011-08-01,4.101106777,86.32,110.08
21,22,2011-09-01,3.771586682,85.58,112.45
22,23,2011-10-01,3.332804137,86.41,109.47
23,24,2011-11-01,3.425460401,97.12,110.5
24,25,2011-12-01,3.432618162,98.56,107.91
25,26,2012-01-01,3.648484986,100.29,111.16
26,27,2012-02-01,3.820507121,102.21,119.7
27,28,2012-03-01,3.836092715,106.15,124.93
28,29,2012-04-01,3.746543591,103.28,120.46
29,30,2012-05-01,3.592456681,94.68,110.52
30,31,2012-06-01,3.365739817,82.36,95.59
31,32,2012-07-01,3.442524721,87.9,103.14
32,33,2012-08-01,3.398553025,94.11,113.34
33,34,2012-09-01,3.65979316,94.51,113.38
34,35,2012-10-01,3.66031026,89.52,111.97
35,36,2012-11-01,3.490066225,86.68,109.71
36,37,2012-12-01,3.611802595,88.19,109.63
37,38,2013-01-01,3.651124921,94.74,112.97
38,39,2013-02-01,3.660745714,95.27,116.45
39,40,2013-03-01,3.475868638,92.91,109.24
40,41,2013-04-01,3.267422662,92.02,102.87
41,42,2013-05-01,3.279130001,94.76,103.03
42,43,2013-06-01,3.177016239,95.79,103.11
43,44,2013-07-01,3.126635217,104.7,107.72
44,45,2013-08-01,3.257851764,106.55,110.97
45,46,2013-09-01,3.248403338,106.25,111.62
46,47,2013-10-01,3.260791073,100.5,109.48
47,48,2013-11-01,3.205298013,93.89,108.08
48,49,2013-12-01,3.267236687,97.85,110.67
49,50,2014-01-01,3.308940397,94.86,107.42
50,51,2014-02-01,3.244193958,100.73,108.81
51,52,2014-03-01,3.024507847,100.57,107.4
52,53,2014-04-01,3.025864102,102.08,107.79
53,54,2014-05-01,3.122507484,101.86,109.68
54,55,2014-06-01,3.087226708,105.24,111.87
55,56,2014-07-01,3.22258006,102.94,106.98
56,57,2014-08-01,3.175428649,96.38,101.92
57,58,2014-09-01,3.117223079,93.22,97.34
58,59,2014-10-01,3.056881067,84.4,87.27
59,60,2014-11-01,3.039612628,75.81,78.44
60,61,2014-12-01,2.913431008,59.26,62.33
61,62,2015-01-01,2.638043182,47.27,48.07
62,63,2015-02-01,2.586441985,50.61,57.93
63,64,2015-03-01,2.687943391,47.78,55.79
64,65,2015-04-01,2.73450059,54.44,59.39
65,66,2015-05-01,2.857937948,59.27,64.56
66,67,2015-06-01,2.646108138,59.8,62.34
67,68,2015-07-01,2.475238138,50.9,55.87
68,69,2015-08-01,2.308323505,42.86,46.99
69,70,2015-09-01,2.362374127,45.45,47.24
70,71,2015-10-01,2.368960356,46.2,48.12
71,72,2015-11-01,2.181003357,42.7,44.42
72,73,2015-12-01,2.099700626,37.23,37.72
73,74,2016-01-01,2.024290121,31.54,30.8
74,75,2016-02-01,2.084496054,30.39,33.2
75,76,2016-03-01,2.244193958,37.77,39.07
76,77,2016-04-01,2.200453597,40.96,42.25
77,78,2016-05-01,2.13569355,46.73,47.13
78,79,2016-06-01,2.100444525,48.75,48.48
79,80,2016-07-01,2.202571895,44.69,45.07
80,81,2016-08-01,2.158305362,44.75,46.14
81,82,2016-09-01,2.135162841,45.2,46.19
82,83,2016-10-01,2.146484623,49.89,49.73
83,84,2016-11-01,2.469042003,45.57,46.44
84,85,2016-12-01,2.57019414,52.01,54.07
85,86,2017-01-01,2.602481176,52.51,54.89
86,87,2017-02-01,2.6950694,53.4,55.49
87,88,2017-03-01,2.64062415,49.58,51.97
88,89,2017-04-01,2.584446158,51.06,52.98
89,90,2017-05-01,2.536287762,48.5,50.87
90,91,2017-06-01,2.585267169,45.17,46.89
91,92,2017-07-01,2.71187517,46.65,48.69
92,93,2017-08-01,2.938483172,48.03,51.37
93,94,2017-09-01,2.986115395,49.83,55.16
94,95,2017-10-01,3.083275878,51.56,57.62
95,96,2017-11-01,3.096058242,56.65,62.57
96,97,2017-12-01,3.084985938,57.94,64.21
97,98,2018-01-01,3.211603012,63.67,68.99
98,99,2018-02-01,3.175995645,62.17,65.42
99,100,2018-03-01,3.082536515,62.76,66.45
100,101,2018-04-01,3.101945931,66.32,71.63
101,102,2018-05-01,3.094330037,69.98,76.65
102,103,2018-06-01,3.154672049,67.52,75.19
103,104,2018-07-01,2.834155856,70.84,74.44
104,105,2018-08-01,2.739612628,67.99,73.13
105,106,2018-09-01,2.730663159,70.21,78.86
106,107,2018-10-01,2.819509208,70.75,80.47
107,108,2018-11-01,2.809126372,56.67,65.17
108,109,2018-12-01,2.764315522,48.95,56.46
109,110,2019-01-01,2.690746621,51.52,59.27
110,111,2019-02-01,2.847772839,54.95,64.13
111,112,2019-03-01,2.926163476,58.15,66.41
112,113,2019-04-01,2.923478182,63.87,71.2
113,114,2019-05-01,2.734423478,60.84,70.53
114,115,2019-06-01,2.661902386,54.68,63.3
115,116,2019-07-01,2.694298285,57.52,64
116,117,2019-08-01,2.589122743,54.84,59.25
117,118,2019-09-01,2.606132632,56.95,62.33
118,119,2019-10-01,2.604957815,53.98,59.37
119,120,2019-11-01,2.657937948,57.06,62.74
120,121,2019-12-01,2.749900209,59.8,65.85
121,122,2020-01-01,2.74389912,57.52,63.6
122,123,2020-02-01,2.579356799,50.53,55
123,124,2020-03-01,2.349033838,29.88,32.98
124,125,2020-04-01,2.289871178,16.52,23.34
125,126,2020-05-01,2.374045178,28.56,31.02
126,127,2020-06-01,2.604731017,38.3,39.93
127,128,2020-07-01,2.88204663,40.75,42.81
128,129,2020-08-01,2.946883788,42.36,44.26
129,130,2020-09-01,3.044729203,39.6,41.09
130,131,2020-10-01,3.040356527,39.53,40.47
131,132,2020-11-01,3.20395083,41.1,43.23
132,133,2020-12-01,3.517753788,47.05,49.87
133,134,2021-01-01,3.615395083,52.1,54.55
134,135,2021-02-01,3.837544226,59.06,61.96
135,136,2021-03-01,4.084632133,62.35,65.19
136,137,2021-04-01,4.234577701,61.71,64.77
137,138,2021-05-01,4.619418489,65.18,68.04
138,139,2021-06-01,4.360169645,71.38,73.07
139,140,2021-07-01,4.279048353,72.46,74.39
140,141,2021-08-01,4.244393541,67.73,70.02
141,142,2021-09-01,4.229370407,71.56,74.6
142,143,2021-10-01,4.435498503,81.32,83.65
143,144,2021-11-01,4.42959267,79.18,80.77
144,145,2021-12-01,4.331992198,71.53,74.31
145,146,2022-01-01,4.434328223,83.12,85.53
146,147,2022-02-01,4.509366779,91.74,95.76
147,148,2022-03-01,4.643740361,108.49,115.59
148,149,2022-04-01,4.619037467,101.78,105.78
149,150,2022-05-01,4.246942756,109.6,112.37
150,151,2022-06-01,4.097400889,114.59,120.08
151,152,2022-07-01,3.415490338,99.85,108.92
