,fecha,imacec
1,2010-01-01,2.0639575690685
2,2010-02-01,3.60945303974982
3,2010-03-01,0.312738717582861
4,2010-04-01,6.1870008295851
5,2010-05-01,6.16326081394938
6,2010-06-01,6.89902300427401
7,2010-07-01,7.80155262669193
8,2010-08-01,8.12418298688775
9,2010-09-01,6.57181486162928
10,2010-10-01,6.65619921164999
11,2010-11-01,8.51029773332523
12,2010-12-01,7.18338105765037
13,2011-01-01,7.6322071057588
14,2011-02-01,6.44100683969351
15,2011-03-01,11.995639695191
16,2011-04-01,5.88582660806718
17,2011-05-01,7.38366008612619
18,2011-06-01,5.49310446033808
19,2011-07-01,4.20042425779883
20,2011-08-01,4.48204243777186
21,2011-09-01,4.8236583560163
22,2011-10-01,5.14240570011015
23,2011-11-01,4.47630469641953
24,2011-12-01,6.91716860895299
25,2012-01-01,5.74044248187153
26,2012-02-01,7.14178107409453
27,2012-03-01,5.29744350096402
28,2012-04-01,6.31671308132757
29,2012-05-01,6.10888606205762
30,2012-06-01,7.08180742868492
31,2012-07-01,7.42963022387522
32,2012-08-01,7.29290048971325
33,2012-09-01,5.1604936544672
34,2012-10-01,6.73408521836447
35,2012-11-01,5.95766792207422
36,2012-12-01,4.00570978999004
37,2013-01-01,5.46265009798192
38,2013-02-01,3.25408448028333
39,2013-03-01,3.69845782671259
40,2013-04-01,4.28943734435809
41,2013-05-01,3.05906396733218
42,2013-06-01,2.9476414569271
43,2013-07-01,3.2827657790754
44,2013-08-01,2.48572367783231
45,2013-09-01,3.03930849137599
46,2013-10-01,2.96401815516556
47,2013-11-01,3.37152078420853
48,2013-12-01,2.03877384325641
49,2014-01-01,1.53301840006239
50,2014-02-01,3.09577638011358
51,2014-03-01,2.72391812084243
52,2014-04-01,1.56471058362495
53,2014-05-01,1.95984632416195
54,2014-06-01,1.55215189549047
55,2014-07-01,0.674740372557792
56,2014-08-01,0.69886873847651
57,2014-09-01,2.59766001619381
58,2014-10-01,1.68800289975217
59,2014-11-01,0.826165460551698
60,2014-12-01,2.63860222024701
61,2015-01-01,2.64497683585005
62,2015-02-01,2.7135402091895
63,2015-03-01,2.1792957749428
64,2015-04-01,2.36027939475683
65,2015-05-01,1.24568685976671
66,2015-06-01,2.50658796407677
67,2015-07-01,2.42317904038762
68,2015-08-01,1.45179745315165
69,2015-09-01,2.97505225471675
70,2015-10-01,1.1602101069913
71,2015-11-01,2.33619044676856
72,2015-12-01,1.96835549526626
73,2016-01-01,1.81668374037085
74,2016-02-01,4.24695047565358
75,2016-03-01,2.85544680047649
76,2016-04-01,0.527662466800716
77,2016-05-01,2.11462237106586
78,2016-06-01,1.14473617064066
79,2016-07-01,0.952021007778781
80,2016-08-01,3.3858372935563
81,2016-09-01,1.60315369907229
82,2016-10-01,-0.285099977599756
83,2016-11-01,1.33795108921686
84,2016-12-01,1.54913054637493
85,2017-01-01,0.416657618454575
86,2017-02-01,-1.78554243978972
87,2017-03-01,0.238070876446206
88,2017-04-01,-0.439510079191563
89,2017-05-01,1.43071491442277
90,2017-06-01,1.08384790083282
91,2017-07-01,1.96138082384982
92,2017-08-01,2.16178267878602
93,2017-09-01,1.46258361641969
94,2017-10-01,3.42261635009489
95,2017-11-01,3.57613376161272
96,2017-12-01,2.52310616312592
97,2018-01-01,4.43558862745399
98,2018-02-01,4.00641924414227
99,2018-03-01,4.68187597471237
100,2018-04-01,6.88382146582258
101,2018-05-01,5.00754700127874
102,2018-06-01,4.65723383763768
103,2018-07-01,3.33615295634362
104,2018-08-01,2.49057753508695
105,2018-09-01,1.63428863836526
106,2018-10-01,4.25748692823282
107,2018-11-01,3.35348269278031
108,2018-12-01,3.15440666473619
109,2019-01-01,1.96746998516151
110,2019-02-01,0.485989600253101
111,2019-03-01,1.1902108664724
112,2019-04-01,1.73846081998408
113,2019-05-01,1.59774530220809
114,2019-06-01,0.756730778909365
115,2019-07-01,2.87236913076467
116,2019-08-01,3.5853563589715
117,2019-09-01,3.14281103285599
118,2019-10-01,-3.88156395243762
119,2019-11-01,-4.663652557608
120,2019-12-01,1.13253610084678
121,2020-01-01,1.46043549989605
122,2020-02-01,2.30973270702426
123,2020-03-01,-4.65628304189145
124,2020-04-01,-14.6281207762789
125,2020-05-01,-15.4762448801818
126,2020-06-01,-13.8212747331872
127,2020-07-01,-11.4392655236719
128,2020-08-01,-10.8002774040291
129,2020-09-01,-5.2439810384354
130,2020-10-01,-1.03130258388555
131,2020-11-01,1.37950524915285
132,2020-12-01,0.650818805822029
133,2021-01-01,-3.99456016831368
134,2021-02-01,-2.83428270862766
135,2021-03-01,6.54020672040032
136,2021-04-01,15.8175891047096
137,2021-05-01,19.843175647831
138,2021-06-01,21.1130084241206
139,2021-07-01,18.5656325988506
140,2021-08-01,18.6707739525471
141,2021-09-01,14.3756988872811
142,2021-10-01,13.9340709200309
143,2021-11-01,13.5695520553792
144,2021-12-01,8.84072791746597
145,2022-01-01,8.9103585800578
146,2022-02-01,6.77686586826307
147,2022-03-01,6.60326683958894
148,2022-04-01,6.68372147303102
149,2022-05-01,6.13939732841857
150,2022-06-01,3.27368923195088
151,2022-07-01,1.00049905777724
152,2022-08-01,-0.0237244930635372
